time,sym,price,volume
2017-04-21 16:31:10.452438,AMZN,897.41,1529156
2017-04-21 16:32:14.203936,AMZN,897.41,1467973
2017-04-21 16:33:32.514774,AMZN,897.71,1529156
2017-04-21 16:34:34.771449,AMZN,898.48,1403813
2017-04-21 16:35:36.827248,AMZN,897.71,1467973
2017-04-21 16:36:39.048933,AMZN,898.53,1529156
2017-04-21 16:37:42.298527,AMZN,897.71,1467973
2017-04-21 16:38:44.692117,AMZN,897.74,1657188
2017-04-21 16:39:46.859251,AMZN,897.74,2375778
2017-04-21 16:40:49.001775,AMZN,897.71,1467973
2017-04-21 16:41:52.016436,AMZN,898.53,1529156
2017-04-21 16:42:54.631305,AMZN,897.74,1467973
2017-04-21 16:43:56.790349,AMZN,897.74,1467973
2017-04-21 16:44:59.093744,AMZN,898.48,1467973
2017-04-21 16:46:01.183989,AMZN,898.53,1657188
2017-04-21 16:47:03.247426,AMZN,897.71,2375778
2017-04-21 16:48:05.213198,AMZN,897.74,1529156
2017-04-21 16:49:08.365329,AMZN,897.71,1657188
2017-04-21 16:50:11.534358,AMZN,898.48,1467973
2017-04-21 16:51:13.526320,AMZN,897.71,1657188
2017-04-21 16:52:15.850840,AMZN,898.48,2375778
2017-04-21 16:53:18.071482,AMZN,898.53,1657188
2017-04-21 16:54:20.702081,AMZN,898.53,2400548
2017-04-21 16:55:23.149447,AMZN,897.74,1657188
2017-04-21 16:56:25.281179,AMZN,898.53,2375778
2017-04-21 16:57:27.800860,AMZN,898.48,1529156
2017-04-21 16:58:33.147785,AMZN,898.53,2375778
2017-04-21 16:59:35.762634,AMZN,898.53,1529156
2017-04-21 17:00:38.534600,AMZN,897.74,2400548
2017-04-21 17:01:40.647370,AMZN,898.53,2375778
2017-04-21 17:02:42.713460,AMZN,898.48,1529156
2017-04-21 17:04:35.346824,AMZN,897.74,2400548
2017-04-21 17:05:37.683069,AMZN,898.53,1529156
2017-04-21 17:06:43.385993,AMZN,898.53,1657188
2017-04-21 17:07:45.542493,AMZN,898.53,1529156
2017-04-21 17:08:47.816226,AMZN,897.74,1529156
2017-04-21 17:09:50.072119,AMZN,898.53,1657188
2017-04-21 17:10:52.256793,AMZN,898.48,2375778
2017-04-21 17:11:54.273756,AMZN,898.48,2375778
2017-04-21 17:12:57.188853,AMZN,898.48,2375778
2017-04-21 17:13:59.565433,AMZN,898.53,2402085
2017-04-21 17:15:14.666446,AMZN,898.53,2400548
2017-04-21 17:16:29.665272,AMZN,898.53,2402085
2017-04-21 17:17:32.720366,AMZN,898.48,2402085
2017-04-21 17:18:35.858563,AMZN,898.53,2375778
2017-04-21 17:19:38.438592,AMZN,898.53,2375778
2017-04-21 17:20:41.061975,AMZN,898.53,2402085
2017-04-21 17:21:43.232238,AMZN,898.48,2400548
2017-04-21 17:22:45.339764,AMZN,898.53,2402085
2017-04-21 17:23:53.691061,AMZN,898.53,1657188
2017-04-21 17:24:57.573874,AMZN,898.53,1657188
